CITY,POSTING_DATE,MAX_PRICE,PRICE_SQFT,AGE,BALCONY_NUM,FLOOR_NUM,BEDROOM_NUM,MAX_AREA_SQFT
8,1692707682,10000,6.0,6,3,6,3,148.6448
8,1692270955,10000,8.0,2,3,4,3,111.4836
8,1692193666,10000,8.0,3,3,3,3,111.4836
8,1692192196,10000,11.0,2,2,5,2,83.6127
8,1692183920,10000,11.0,2,2,5,2,83.6127
0,1692038249,10000,11.0,2,2,10,2,83.6127
8,1690033558,10000,10.0,1,2,5,2,91.04494
0,1690003145,10000,10.0,1,1,3,2,92.903
8,1691063206,10000,11.0,1,1,3,2,78.03852
0,1691050816,10000,12.0,2,2,3,2,74.3224
8,1690447007,10000,12.0,1,1,8,2,74.3224
5,1688550804,16750,15.0,1,0,2,3,100.33524
1,1687353933,8800,7.0,2,0,6,4,111.4836
0,1689243351,10000,10.0,5,1,2,2,92.903
0,1690093058,10000,17.0,3,1,5,2,52.02568
1,1689594717,9000,13.0,2,0,3,2,60.38695
1,1689594065,8000,12.0,2,0,5,2,60.38695
8,1689841923,16000,24.0,2,0,6,2,60.38695
0,1689321040,10000,10.0,1,1,4,2,92.903
0,1668745835,10000,40.0,2,0,3,1,23.132847
8,1683377741,10000,6.0,1,1,8,3,133.31581
1,1688038686,9000,12.0,2,0,6,2,69.67725
0,1682174748,10000,17.0,3,1,0,2,52.02568
0,1682175517,10000,18.0,3,1,3,2,51.09665
0,1682176215,10000,21.0,3,2,3,2,42.73538
8,1687530737,10000,9.0,3,0,1,2,97.54815
8,1685274237,10300,7.0,6,1,11,3,120.7739
1,1686570828,7500,8.0,2,0,5,2,81.75464
8,1682857486,11500,14.0,1,1,12,3,74.3224
8,1682591648,12000,14.0,1,1,12,2,78.96755
0,1690087123,9999,9.0,1,2,5,2,97.54815
0,1684827827,14000,40.0,1,0,16,1,32.51605
8,1691061427,9500,11.0,1,1,15,2,78.96755
8,1690447587,9500,11.0,1,1,5,2,74.3224
8,1690100911,9500,8.0,1,1,15,2,105.90942
8,1671292800,9500,9.0,1,0,7,2,85.93527
8,1689941629,9500,8.0,2,1,15,2,101.72878
8,1677849376,9500,7.0,1,1,5,2,118.91584
1,1682340949,10000,8.0,2,0,6,4,111.4836
8,1692162553,10000,11.0,3,0,1,2,83.6127
8,1691668763,14750,15.0,2,0,2,2,88.25785
8,1691417502,12000,11.0,3,0,1,3,97.54815
8,1681994692,13500,25.0,1,1,10,2,49.23859
5,0,8500,8.0,2,2,2,2,78.96755
5,0,18000,16.0,3,2,2,1,78.96755
5,0,7000,7.0,2,1,2,1,83.6127
5,1660997241,9000,81.0,3,1,0,1,10.21933
5,1667641785,10000,33.0,2,4,1,1,27.8709
5,0,13000,10.0,1,4,16,3,116.12875
5,0,7700,9.0,1,2,7,2,88.25785
4,1691581886,12447000,13500.0,5,0,1,3,85.65656
4,1691581884,10212460,13707.0,5,0,1,2,69.21274
4,1691581882,5464395,11905.0,5,0,1,1,42.642475
7,1690270242,7000000,10526.0,6,0,1,2,61.780495
7,1690270240,5100000,9553.0,6,0,1,1,48.774075
8,1684395751,9500,4.0,6,2,7,4,185.806
5,0,11000,36.0,2,1,3,1,27.8709
0,1692114653,9000,13.0,3,1,3,3,60.38695
8,1691062531,9000,8.0,1,1,13,2,101.72878
8,1691061842,9000,8.0,1,1,15,2,101.72878
8,1690446635,9000,10.0,1,1,4,2,78.03852
8,1690312915,9000,11.0,1,1,15,2,74.3224
8,1692275584,9000,8.0,1,1,8,2,103.12233
8,1691568268,9000,7.0,3,2,3,4,111.4836
8,1691914811,9000,6.0,2,3,1,3,139.3545
0,1691052102,9000,7.0,1,1,12,2,111.4836
0,1691402783,9000,9.0,1,2,5,2,92.903
0,1691231808,9000,7.0,1,1,9,2,111.4836
0,1689938250,9000,9.0,1,1,5,2,92.903
1,0,9000,13.0,2,0,7,2,62.24501
0,0,9000,36.0,3,1,3,1,23.22575
8,1680738572,8000,8.0,2,3,3,3,92.903
4,1689359795,15000,83.0,3,0,2,1,16.72254
0,1689598294,9000,9.0,1,0,3,2,92.903
0,1689331740,9000,9.0,1,0,4,2,92.903
6,1686038804,45000,225.0,3,0,12,1,18.5806
8,1691400993,15000,17.0,1,0,16,2,78.50304
8,1691243218,25000,27.0,3,0,2,3,83.6127
8,1691054545,16000,15.0,1,0,5,3,94.01784
1,1688123717,8000,26.0,2,0,1,1,27.8709
1,1688122883,8000,26.0,5,0,8,1,27.8709
1,1688122128,10000,15.0,5,0,1,2,58.993404
3,1685686576,10900000,14964.0,5,0,1,2,67.633385
3,1685686574,7143000,14481.0,5,0,1,1,45.801178
8,1689620105,12000,15.0,2,0,9,2,106.83845
2,1688802507,15000,15.0,3,0,1,2,92.903
0,1675162728,56558880,52128.0,6,0,1,4,201.5995
0,1675162726,0,0.0,6,0,1,3,131.45775
8,1692708272,8500,6.0,6,2,13,2,116.12875
0,1689601852,8500,8.0,1,1,3,2,92.903
8,1689940774,8500,7.0,2,1,10,2,101.72878
0,1683001851,15000,31.0,3,0,3,1,44.59344
8,1689330018,20000,14.0,1,1,11,3,125.41905
8,1653047444,8500,7.0,2,1,3,2,109.62554
8,1682757250,10000,8.0,1,1,10,2,105.90942
8,1683368330,16000,22.0,1,1,9,2,66.23984
8,1683359508,13000,13.0,1,1,3,2,91.04494
5,0,15000,13.0,1,2,3,2,102.1933
8,1689667614,12000,12.0,3,0,1,5,88.25785
8,1689607605,20000,14.0,2,1,3,4,125.41905
8,1689345659,14000,19.0,2,1,2,2,66.23984
8,1689344594,9000,8.0,1,1,7,2,101.72878
8,1676548208,13000,10.0,1,1,3,2,111.4836
8,1680433875,11000,36.0,1,1,13,2,27.8709
8,1688031110,9000,9.0,1,1,3,2,88.25785
8,1688030836,9500,10.0,1,1,3,2,82.68367
8,1688724609,20000,16.0,1,1,8,4,116.12875
8,1683394722,12000,6.0,1,1,4,1,163.04477
8,1683485668,14500,51.0,0,1,3,1,26.01284
8,1683347999,20000,71.0,1,0,11,1,26.01284
8,1680768599,11000,55.0,1,1,2,1,18.5806
8,1681467137,10000,11.0,2,1,4,1,83.6127
8,1682575900,9500,10.0,2,0,13,1,83.6127
8,1683358504,16000,8.0,1,1,11,1,167.2254
8,1688197538,20000,66.0,1,2,8,1,27.8709
8,1682846409,16000,14.0,2,1,19,1,102.1933
8,1683349209,15002,50.0,1,1,4,1,27.8709
5,0,12900,11.0,1,1,9,1,102.1933
8,1676548631,10000,8.0,1,1,3,1,116.12875
8,1683484771,8500,10.0,6,3,9,3,78.96755
8,1688032127,11000,9.0,1,2,8,4,110.55457
5,0,12000,40.0,1,0,4,1,27.8709
8,1687891172,20000,13.0,1,1,3,1,134.70935
